hhcat,SURVYR,hhcatDescription,codecat,codeDESCRIPTION,ew,ew2,mw,mw2,ewmw,combined_desc,estimate,calc1,calc2,calc3,standard_error,residual_standard_error
1,202021,lowest 10% income HHs,402,UHT whole milk,14228.6,126494884.4,5165.69,235103.6033,292765.796,1_402,1.37722163,0.624810935,0.007966358,0.008810542,1.089359777,79.09836396
1,202021,lowest 10% income HHs,404,Pasteurised or homogenised whole milk,221371.62,1485806783,5165.69,235103.6033,8280727.894,1_404,21.42711042,0.03031925,0.014482656,0.008810542,3.363929062,15.69940602
1,202021,lowest 10% income HHs,901,Condensed or evaporated milk,13524.65,39230033.93,5165.69,235103.6033,325008.8621,1_901,1.309084556,0.214470031,0.009304024,0.008810542,0.605551087,46.25759918
1,202021,lowest 10% income HHs,1102,Infant or baby milks - ready to drink,3949.06,8202231.5,5165.69,235103.6033,128486.0596,1_1102,0.382239352,0.52595012,0.012596907,0.008810542,0.276209593,72.2608991
1,202021,lowest 10% income HHs,1103,Infant or baby milks - dried,24731.5,208520676.3,5165.69,235103.6033,1378479.39,1_1103,2.393823478,0.340916648,0.021580002,0.008810542,1.371281021,57.28413284
1,202021,lowest 10% income HHs,1201,Instant dried milk,82564.18,6510792538,5165.69,235103.6033,7546811.374,1_1201,7.991592604,0.955103668,0.035389423,0.008810542,7.700697917,96.35999103
1,202021,lowest 10% income HHs,1301,Yoghurt,351332.23,2571455750,5165.69,235103.6033,15808910.52,1_1301,34.00632152,0.020832581,0.017421502,0.008810542,3.759447645,11.05514351
1,202021,lowest 10% income HHs,1302,Fromage frais,12668.69,18799318.35,5165.69,235103.6033,532412.2909,1_1302,1.226234056,0.117132843,0.016271141,0.008810542,0.406089478,33.11679982
1,202021,lowest 10% income HHs,1502,Fully skimmed milk,81558.38,717755998.3,5165.69,235103.6033,4427508.005,1_1502,7.894238717,0.107904523,0.02101805,0.008810542,2.442077542,30.93493407
1,202021,lowest 10% income HHs,1503,Semi-skimmed milk,498619.51,3480480595,5165.69,235103.6033,16557069.87,1_1503,48.26262416,0.013999118,0.012856296,0.008810542,4.814995294,9.97665456
1,202021,lowest 10% income HHs,1603,Dairy desserts - not frozen,137515.84,1059529284,5165.69,235103.6033,4064941.453,1_1603,13.31050063,0.056028309,0.011444669,0.008810542,3.075681477,23.10718104
1,202021,lowest 10% income HHs,1607,Milk drinks & other milks,84679.11,520299542.4,5165.69,235103.6033,3767056.465,1_1607,8.196301946,0.072560602,0.017223742,0.008810542,2.075905041,25.32733731
1,202021,lowest 10% income HHs,1608,Non-dairy milk substitutes,52811.65,218592830.8,5165.69,235103.6033,1608507.125,1_1608,5.111771128,0.078374799,0.011792202,0.008810542,1.403580459,27.45781107
1,202021,lowest 10% income HHs,1701,Cream,72211.8,203811290.9,5165.69,235103.6033,2288423.594,1_1701,6.989559962,0.03908516,0.012269586,0.008810542,1.319271179,18.87488177
1,202021,lowest 10% income HHs,2201,Hard cheese - Cheddar type,410312.85,2257997565,5165.69,235103.6033,13053973.47,1_2201,39.71520262,0.01341199,0.01231769,0.008810542,3.952579026,9.952307342
1,202021,lowest 10% income HHs,2202,Hard cheese - Other UK or foreign equivalent,53349.73,211651059.5,5165.69,235103.6033,1427117.117,1_2202,5.163853232,0.074362845,0.010356882,0.008810542,1.393441696,26.98453333
1,202021,lowest 10% income HHs,2203,Hard cheese - Edam or other foreign,63306.54,280524281.5,5165.69,235103.6033,1813517.569,1_2203,6.127597668,0.069996013,0.011091106,0.008810542,1.594535244,26.02219222
1,202021,lowest 10% income HHs,2205,Cottage cheese,15113.15,57862621.25,5165.69,235103.6033,259572.3105,1_2205,1.462839427,0.253330872,0.006649746,0.008810542,0.739409503,50.54618365
1,202021,lowest 10% income HHs,2206,Soft natural cheese,255525.33,9356167021,5165.69,235103.6033,20542675.83,1_2206,24.73293306,0.143294675,0.0311261,0.008810542,8.602621703,34.78205226
1,202021,lowest 10% income HHs,2301,Processed cheese,64122.75,237635585.5,5165.69,235103.6033,2353786.86,1_2301,6.206600667,0.057794591,0.014212048,0.008810542,1.420662088,22.88953591
1,202021,lowest 10% income HHs,3103,Beef joints - boned,87787.84,1038373586,5165.69,235103.6033,3374499.617,1_3103,8.497203665,0.134736389,0.014882527,0.008810542,3.047931725,35.86982077
1,202021,lowest 10% income HHs,3104,Beef steak - less expensive,155754.47,1789350241,5165.69,235103.6033,8532327.06,1_3104,15.07586305,0.073758881,0.021209412,0.008810542,3.734434917,24.77095278
1,202021,lowest 10% income HHs,3105,Beef steak - more expensive,167906.27,2648811828,5165.69,235103.6033,4843162.277,1_3105,16.25206604,0.093954434,0.011167701,0.008810542,4.918694555,30.26504165
1,202021,lowest 10% income HHs,3106,Minced beef,216707.34,1195176533,5165.69,235103.6033,6715295.325,1_3106,20.97564314,0.025449826,0.011997566,0.008810542,3.12971788,14.92072429
1,202021,lowest 10% income HHs,3107,All other beef and veal,1965.6,3863583.36,5165.69,235103.6033,40884.48,1_3107,0.190255319,1,0.008053135,0.008810542,0.190327356,100.0378632
1,202021,lowest 10% income HHs,3601,Mutton,0,0,5165.69,235103.6033,0,1_3601,0,NA,NA,0.008810542,NA,NA
1,202021,lowest 10% income HHs,3602,Lamb joints,127999.34,8845541862,5165.69,235103.6033,3474727.593,1_3602,12.38937489,0.539894597,0.01051029,0.008810542,9.089064034,73.36176451
1,202021,lowest 10% income HHs,3603,Lamb chops,89557.73,2471903884,5165.69,235103.6033,1752097.171,1_3603,8.668515726,0.308194884,0.007574549,0.008810542,4.821992889,55.62651141
1,202021,lowest 10% income HHs,3604,All other lamb,15870.95,102661764.1,5165.69,235103.6033,353025.025,1_3604,1.536188776,0.407570625,0.008612004,0.008810542,0.980961081,63.85680565
